cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00032546,Ron Johnson (R),20308835.0,20458327.0,2632074.0,17431217.0,100000.0,145544.0,44263.0,14021092.0,3338459.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,50.2,W,I,Wisconsin,"","",2016-08-09 00:00:00 +0000,WIS2,0,1,N
N00000036,Russ Feingold (D),24544070.0,24483174.0,1031924.0,23148551.0,0.0,363595.0,60896.0,13347176.0,9801368.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,46.8,L,C,Wisconsin,"","",2016-08-09 00:00:00 +0000,    ,0,2,N
N00038571,Phil Anderson (L),10948.0,5181.0,0.0,19301.0,1195.0,-9548.0,919.0,19301.0,0.0,2016-10-01 00:00:00 +0000,2017-05-18 00:00:00 +0000,3.0,L,C,Wisconsin,"","",2016-08-09 00:00:00 +0000,    ,0,2,N
