cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030608,Michael Bennet (D),17801104.0,16241523.0,4058840.0,12161728.0,7400.0,1573136.0,1715122.0,10138559.0,1672627.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,49.1,W,I,Colorado,"","",2016-06-28 00:00:00 +0000,COS1,0,1,N
N00036919,Darryl Glenn (R),4005277.0,3822089.0,140112.0,3868268.0,0.0,-3103.0,183186.0,2176925.0,1691341.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,45.4,L,C,Colorado,"","",2016-06-28 00:00:00 +0000,    ,0,2,N
N00039221,Lily Williams (L),19738.0,19737.0,0.0,19738.0,51.0,-51.0,0.0,7456.0,12282.0,2016-11-28 00:00:00 +0000,2017-05-18 00:00:00 +0000,3.5,L,C,Colorado,"","",2016-06-28 00:00:00 +0000,    ,0,2,N
N00040111,Arn Menconi (3),19382.0,19382.0,0.0,18632.0,500.0,250.0,0.0,16675.0,1956.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,1.2,L,C,Colorado,"","",2016-06-28 00:00:00 +0000,    ,0,2,N
N00039928,Greg Bailey (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Colorado,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00036518,Dan Chapin (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Colorado,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00040490,Paul Fiorino (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Colorado,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00029475,Bill Hammons (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Colorado,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00036843,Donald Willoughby (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Colorado,"","",2016-06-28 00:00:00 +0000,,0,2,N
