candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20002184,2012,"HERMAN, RAPHAEL",DEMOCRATIC PARTY,Challenger,P,16414018.00,16414018.00,0.00,{C00481523},2012-06-30 00:00:00,C00481523,RAPHAEL HERMAN FOR PRESIDENT THE UNITED STATES OF AMERICA
P20002192,2012,"RODRIQUEZ, SANTIAGO A",OTHER,Challenger,P,0.0,0.0,0.0,{C00484170},,C00484170,PRAETORIAN PARTY; THE
P20002200,2012,"GOODMAN, HERMAN LEE",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00484907},,C00484907,HERMAN FOR PRESIDENT
P20002218,2012,"KNILL, DENNIS JEROME",REPUBLICAN PARTY,Challenger,P,1438.00,1513.00,44.00,{C00485029},2012-10-31 00:00:00,C00485029,FRIENDS OF DENNIS KNILL FOR PRESIDENT
P20002226,2012,"BUSH, TANNER CLINE MCCUMBER",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00485607},,C00485607,TANNER CLINE MCCUMBER BUSH POLITICAL CAMPAIGN FUND
P20002234,2012,"BUSH, SAVANNAH JEWEL MCCUMBER",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00485656},,C00485656,SAVANNAH JEWEL MCCUMBER BUSH POLITICAL CAMPAIGN FUND
P20002242,2012,"JIMENEZ, GABRIEL ALEXANDER",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00486506},,C00486506,JIMENEZ FOR PRESIDENT 2012
P20002259,2012,"GATES, KENNETH",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00487439},2010-12-10 00:00:00,C00487439,KENNETH GATES FOR US PRESIDENT 2012
P20002267,2012,"WALTON, MICHAEL",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00487421},2010-12-10 00:00:00,C00487421,MICHAEL WALTON FOR PRESIDENT 2012
P20002275,2012,"KOCH, JAMES",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00487413},2011-07-14 00:00:00,C00487413,JAMES KOCH FOR US PRESIDENT 2012
