cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00037161,Catherine Cortez Masto (D),19566921.97,18604214.72,1151754.28,16584262.46,0.0,1830905.23,220554.0,11176831.32,6307427.14,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,47.1,W,O,Nevada,"","",2016-06-14 00:00:00 +0000,    ,0,2,N
N00031244,Joe Heck (R),12190604.0,11742910.0,2008728.0,7961159.0,0.0,2220717.0,447693.0,6574897.0,1386259.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,44.7,L,O,Nevada,"","",2016-06-14 00:00:00 +0000,NV03,0,2,N
N00039727,Jarrod M. Williams (3),2267.0,2366.0,0.0,901.0,1376.0,-10.0,0.0,767.0,144.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.6,L,O,Nevada,"","",2016-06-14 00:00:00 +0000,    ,0,2,N
N00039066,Tom Jones (3),2215.0,1200.0,0.0,215.0,2000.0,0.0,1015.0,0.0,215.0,2016-03-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,1.5,L,O,Nevada,"","",2016-06-14 00:00:00 +0000,    ,0,2,N
N00031188,Jerry Dean Carter (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,O,Nevada,"","",2016-06-14 00:00:00 +0000,,0,2,N
N00039724,Tom Sawyer (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,O,Nevada,"","",2016-06-14 00:00:00 +0000,,0,2,N
N00039726,Gerald Villa (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,O,Nevada,"","",2016-06-14 00:00:00 +0000,,0,2,N
