cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00009918,Patrick Leahy (D),4770988.109999999,4915515.0600000005,1552073.0,3011025.11,0.0,207890.0,2003840.0,2835462.11,175562.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,61.3,W,I,Vermont,"","",2016-08-09 00:00:00 +0000,VTS2,0,1,N
N00040118,Scott Milne (R),127633.0,106458.0,0.0,0.0,33047.0,94586.0,0.0,94577.0,0.0,2016-12-08 00:00:00 +0000,2017-05-18 00:00:00 +0000,33.0,L,C,Vermont,"","",2016-08-09 00:00:00 +0000,    ,0,2,N
N00000519,Pete Diamondstone (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Vermont,"","",2016-08-09 00:00:00 +0000,,0,2,N
N00028830,Jerry Trudell (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Vermont,"","",2016-08-09 00:00:00 +0000,,0,2,N
