cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00002221,Richard Burr (R),12904555.0,10069504.0,4268675.0,7054758.0,0.0,1581122.0,235536.0,6541466.0,513289.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,51.5,W,I,North Carolina,"","",2016-03-15 00:00:00 +0000,NCS2,0,1,N
N00038565,Deborah Ross (D),14087276.0,14043959.0,656815.0,13152221.0,0.0,278240.0,43319.0,8489917.0,4662301.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,45.3,L,C,North Carolina,"","",2016-03-15 00:00:00 +0000,    ,0,2,N
N00038568,Mohammad Abous Sabur Nasiri (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,North Carolina,"","",2016-03-15 00:00:00 +0000,,0,2,N
