cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030612,Marco Rubio (R),29970472.56,17005501.22,2170003.33,25717677.81,0.0,2082791.42,13137174.17,14329955.200000001,11387722.610000001,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,I,Florida,"","",,FLS2,0,1,N
N00033449,Val Demings (D),30464618.290000003,18008539.650000002,600541.28,29859139.03,0.0,4937.98,13227500.51,12546318.57,17312820.46,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,FL10,0,2,N
N00028418,Alan Grayson (D),474436.14,235832.36,0.0,224466.81,250000.0,-30.67,242570.07,61651.66,162815.15,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00048817,William Sanchez (D),137411.21,96300.54999999999,0.0,50461.66,86649.54999999999,300.0,6546.07,39859.66,10602.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00036527,Allen Ellison (D),86964.82,80480.51000000001,0.0,82964.82,4000.0,0.0,2046.96,28643.88,54320.94,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00047889,Joshua Weil (D),30042.94,28760.39,0.0,15164.06,14878.88,0.0,1322.55,7880.44,7283.62,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00048393,Steven B. Grant (I),18818.0,8412.28,0.0,18818.0,0.0,0.0,10405.72,16622.0,2196.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00027736,Al Fox (D),18226.0,10469.14,0.0,17926.0,300.0,0.0,7756.86,16550.0,1376.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00048820,Tuan Nguyen (I),17987.0,17186.8,0.0,12987.0,5000.0,0.0,800.2,11050.0,1937.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00048822,Coleman Watson (D),12780.0,13366.73,0.0,10255.0,2525.0,0.0,0.0,9497.0,758.0,2022-01-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00048101,Luis Miguel (R),6645.0,3012.87,0.0,6645.0,0.0,0.0,3632.13,3850.0,2795.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00048398,Calvin Driggers (R),6002.0,372.35,0.0,5000.0,1002.0,0.0,4627.65,5000.0,0.0,2021-09-30 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00049387,Kevin Depuy (R),5000.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,2021-09-30 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00046651,Dennis Misigoy (L),3840.22,1414.81,0.0,3525.22,15.0,300.0,4756.0,2000.0,1525.22,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,    ,0,2,N
N00048394,Jason Holic (I),2345.0,1858.7,0.0,2240.0,105.0,0.0,486.3,1000.0,1240.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00045893,Carlos Barberena (I),29.78,0.0,0.0,0.0,29.78,0.0,29.78,0.0,0.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00030562,Josue Larose (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,    ,0,2,N
N00048100,Edward Abud (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,,0,2,N
N00048397,Shantele Bennett (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,,0,2,N
N00048821,Timothy Devine (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
N00045371,Grace Granda (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,,0,2,N
N00048099,Jake Loubriel (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,,0,2,N
N00045687,Ervan Miller (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
N00048632,Allek Pastrana (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
N00048396,Dwayne Pinney (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Florida,"","",,,0,2,N
N00048819,Ken Russell (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
N00049227,Ahmad Saide (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
N00049267,Randy Toler (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Florida,"","",,,0,2,N
