cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00031820,Chris Coons (D),7145795.56,6023515.87,2377637.0,4739923.21,70509.27,-42273.920000000006,1840513.26,4401629.16,338292.05,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,59.4,W,I,Delaware,"","",2020-09-15 00:00:00 +0000,DES2,0,1,N
N00046363,Lauren Witzke (R),468649.95,465316.41000000003,850.0,467530.9,25.0,244.05,3333.54,223062.46,244468.44,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,37.9,L,C,Delaware,"","",2020-09-15 00:00:00 +0000,    ,0,2,N
N00045872,Mark Turley (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Delaware,"","",2020-09-15 00:00:00 +0000,,0,2,N
