cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00029277,Gary Peters (D),51566899.989999995,49991664.66,4077538.75,46717059.599999994,0.0,772301.6399999999,1770272.68,28477749.0,18239308.6,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,49.9,W,I,Michigan,"","",2020-08-04 00:00:00 +0000,MIS1,0,1,N
N00041550,John James (R),48616697.18,47513284.47,873059.02,45827403.66,0.0,1916234.5,1611367.59,23417261.34,22410142.32,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,48.3,L,C,Michigan,"","",2020-08-04 00:00:00 +0000,    ,0,2,N
N00043811,Seldon Frank Cupps (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Michigan,"","",2020-08-04 00:00:00 +0000,,0,2,N
N00025989,Doug Dern (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Michigan,"","",2020-08-04 00:00:00 +0000,,0,2,N
N00044748,Gregory Jones (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Michigan,"","",2020-08-04 00:00:00 +0000,,0,2,N
N00043960,Marcia Squier (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Michigan,"","",2020-08-04 00:00:00 +0000,,0,2,N
