cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00006267,Mike Crapo (R),5875081.0,5807234.0,3266317.0,3477072.0,0.0,-868308.0,2865764.0,2317618.0,159452.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,66.1,W,I,Idaho,"","",2016-05-17 00:00:00 +0000,IDS2,0,1,N
N00039661,Jerry Sturgill (D),491243.0,491242.0,12750.0,420560.0,57618.0,315.0,0.0,371777.0,48782.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,27.8,L,C,Idaho,"","",2016-05-17 00:00:00 +0000,    ,0,2,N
N00039660,Ray J. Writz (3),6154.0,6147.0,0.0,0.0,6109.0,45.0,7.0,0.0,45.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,6.2,L,C,Idaho,"","",2016-05-17 00:00:00 +0000,    ,0,2,N
N00036921,Timothy An Raty (I),432.58000000000004,426.58000000000004,0.0,150.0,433.0,-150.42,5.0,0.0,150.0,2015-06-30 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.0,L,C,Idaho,"","",2016-05-17 00:00:00 +0000,    ,0,2,N
