cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030670,Todd Young (R),10205343.0,10901663.63,2231143.0,7283247.0,0.0,690953.0,65392.0,6058780.0,509028.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,52.1,W,O,Indiana,"","",2016-05-03 00:00:00 +0000,IN09,0,2,N
N00003762,Evan Bayh (D),4799782.0,14117713.0,613488.0,2982061.0,0.0,1204233.0,889086.0,2510062.0,471996.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,42.4,L,O,Indiana,"","",2016-05-03 00:00:00 +0000,    ,0,2,N
N00039986,Lucy Brenton (L),1098.0,1275.0,0.0,1098.0,0.0,0.0,0.0,500.0,598.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,5.5,L,O,Indiana,"","",2016-05-03 00:00:00 +0000,    ,0,2,N
N00039477,M Brent Pittman (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04-23 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.0,L,O,Indiana,"","",2016-05-03 00:00:00 +0000,    ,0,2,N
N00035128,James L Johnson Jr (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,O,Indiana,"","",2016-05-03 00:00:00 +0000,,0,2,N
