cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00029562,Ben Ray Lujan (D),9083639.35,9385025.16,1364237.0,7409333.28,0.0,310069.07,79323.45,4809908.59,2599424.69,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,51.73,W,O,New Mexico,"","",2020-06-02 00:00:00 +0000,NM03,0,2,N
N00046371,Mark Ronchetti (R),3936338.3600000003,3925526.43,114720.0,3808608.21,0.0,13010.15,10811.93,2768076.89,1040531.32,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,45.63,L,O,New Mexico,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00046725,Bob Walsh (L),8326.01,6895.09,1518.01,5808.0,1000.0,0.0,1430.92,3450.0,2358.0,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,2.65,L,O,New Mexico,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
