candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000133,2000,"MCDANIELS, EDISON PENROW",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00301168},,C00301168,CRUSADE TO ELECT EDISON P MCDANIELS SR PRESIDENT
P00000679,2000,"CARROLL, JERRY LEON",INDEPENDENT,Challenger,P,410.00,410.00,2.00,{C00214999},2000-12-31 00:00:00,C00214999,JERRY CARROLL COMMITTEE FOR PRESIDENT
P00000729,2000,"MUZYK, GEORGE ALEXANDER",DEMOCRATIC PARTY,Challenger,P,2775.00,1950.00,375.00,{C00283325},2000-12-31 00:00:00,C00283325,DEMOCRATS FOR AMERICUM
P00001073,2000,"BERRY, SAMUEL HARPER JR",REPUBLICAN PARTY,Challenger,P,17932.00,17930.00,0.00,{C00324798},2000-02-29 00:00:00,C00324798,BERRY FOR PRESIDENT 2000
P00001792,2000,"ENGLERIUS, MAXIMUS T",UNKNOWN,Challenger,P,1.00,0.00,1.00,"{C00197384,C00344366}",2000-10-01 00:00:00,C00344366,MAX ENGLERIUS FOR PRESIDENT CAMPAIGN COMMITTEE
P00002253,2000,"MOSBY, TIM LEE",REPUBLICAN PARTY,Challenger,P,48222.00,9575.00,3800.00,{C00327452},2000-12-31 00:00:00,C00327452,GENIUS AT WORK (MOSBY)
P00002303,2000,"WALSH, ROY EUGENE",INDEPENDENT,Challenger,P,0.00,0.00,0.00,{C00350256},2001-03-01 00:00:00,C00350256,ROY WALSH ELECTION COMMITTEE
P00002568,2000,"LEVINSON, MICHAEL STEPHEN",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,"{C00123596,C00350231}",,C00350231,LEVINSON FOR PRESIDENT
P00002592,2000,"BENTLEY, THOMAS A",OTHER,Challenger,P,0.0,0.0,0.0,{C00150409},,C00150409,COALITION TO ELECT TOM BENTLEY PRESIDENT
P00002667,2000,"POLAND, HAROLD LAWRENCE",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00314534},,C00314534,POLAND FOR PRESIDENT
P00002915,2000,"MCNALLY, MARTIN JOSEPH",OTHER,Challenger,P,0.0,0.0,0.0,{C00328054},,C00328054,NATIONAL CHRISTIAN DEMOCRATIC PARTY COMMITTEE TO ELECT MARTIN JOSEPH MCNALLY PRESIDENT
P00003103,2000,"JONES, JOHN",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00331207},,C00331207,JOHN JONES FOR PRESIDENTIAL
P00003178,2000,"NICHOLSON, DAVID LEE",DEMOCRATIC PARTY,Challenger,P,0.00,0.00,0.00,{C00333138},1999-09-30 00:00:00,C00333138,FRIENDS OF DAVE NICHOLSON
P00003194,2000,"ROBERTS, JOHN DAVID",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00333351},1998-03-25 00:00:00,C00333351,JOHN ROBERTS FOR PRESIDENT
P00003202,2000,"BARNECK, TODD ALAN",DEMOCRATIC PARTY,Challenger,P,1001.00,754.00,0.00,{C00333997},2000-12-31 00:00:00,C00333997,BARNECK FOR PRESIDENT 2000
P00003210,2000,"SIERRA, MARGOT",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00334730},,C00334730,SIERRA FOR PRESIDENT
P00003228,2000,"LALKA, RANDALL ROY (GOD LALKA)",OTHER,Challenger,P,0.0,0.0,0.0,{C00337535},,C00337535,GOD LALKA FOR PRESIDENT IN 2000
P00003244,2000,"WINTERBOTTOM, THOMAS FRANCIS",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00336099},,C00336099,THOMAS WINTERBOTTOM FOR PRESIDENT
P00003269,2000,"JOHNSON, DERRICK CHRISTOPHER",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.0,{C00336305},2001-01-01 00:00:00,C00336305,DERRICK C JOHNSON FOR PRESIDENT
P00003277,2000,"HAMBURG, AL",INDEPENDENT,Challenger,P,47877.00,47432.00,0.00,{C00336982},1999-12-31 00:00:00,C00336982,AL HAMBURG FOR PRESIDENT IN 2012 
P00003285,2000,"CLARK, LAWRENCE (LARRY) JAMES",REPUBLICAN PARTY,Challenger,P,27166.00,8006.00,0.0,{C00337196},1999-07-31 00:00:00,C00337196,COMMITTEE TO ELECT LARRY CLARK FOR PRESIDENT
P00003319,2000,"DOLE, ELIZABETH",REPUBLICAN PARTY,Open seat,P,5461958.00,5462020.00,0.00,{C00343889},2000-12-31 00:00:00,C00343889,ELIZABETH DOLE FOR PRESIDENT EXPLORATORY COMMITTEE INC
P00003327,2000,"MOREAU, ROBERT EDWARD",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00340737},,C00340737,COMMITTEE FOR ROB MOREAU CANDIDATE FOR THE OFFICE OF THE PRESIDENCY OF THE USA
P00003335,2000,"BUSH, GEORGE W",REPUBLICAN PARTY,Open seat,P,193657728.80,186455991.55,7201734.18,"{C00343509,C00346932,C00360503}",2000-12-31 00:00:00,C00360503,BUSH-CHENEY 2000 INC.
P00003343,2000,"CROW, RANDOLPH WILSON",DEMOCRATIC PARTY,Challenger,P,7485.00,7485.00,0.00,{C00341719},2000-12-31 00:00:00,C00341719,RANDY CROW FOR PRESIDENT
