candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000034,1980,"SANDERSON, DANIEL E.",UNKNOWN,,P,60.00,2864.00,0.0,{C00099028},1980-09-30 00:00:00,C00099028,COMMITTEE TO ELECT DANIEL E. SANDERSON TO THE PRESIDENCY
P00000075,1980,"CHAVEZ, ANTHONY SOLOMON",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,"{C00077222,C00090985,C00096321,C00113498}",1979-12-31 00:00:00,C00096321,NATIONAL COMMITTEE TO ELECT ANTHONY CHAVEZ
P00000091,1980,"HILL, RICHARD RHORER",INDEPENDENT,,P,0.00,0.00,0.0,"{C00085944,C00114736}",1979-03-31 00:00:00,C00114736,HILL IN '84 COMMITTEE
P00000125,1980,"LADNER, ROBERT DERWOOD ""BUCK""",UNKNOWN,,P,0.00,0.00,0.0,"{C00079699,C00079707}",1980-06-16 00:00:00,C00079699,LADNER FOR PRESIDENT 1980 CAMPAIGN COMMITTEE
P00000133,1980,"MCDANIELS, EDISON P.",REPUBLICAN PARTY,,P,146.00,571.00,0.0,{C00080473},1979-03-31 00:00:00,C00080473,"COUNCIL OF AMERICANS FOR ""MAC"", THE (PCC MCDANIELS)"
P00000141,1980,"MONTGOMERY, JAMES ROBERT",INDEPENDENT,,P,748.00,748.00,0.0,"{C00082222,C00107011}",1980-12-31 00:00:00,C00107011,JAMES R MONTGOMERY CAMPAIGN FUND
P00000166,1980,"WEICKER, LOWELL JR.",REPUBLICAN PARTY,,P,61767.00,82955.00,0.0,{C00087940},1980-02-29 00:00:00,C00087940,WEICKER '80 COMMITTEE
P00000174,1980,"TOTTEN, GLEN E.",UNKNOWN,,P,0.0,0.0,0.0,{C00098038},,C00098038,TOTTEN FOR PRESIDENT COMMITTEE
P00000190,1980,"TITTL, PETER FREDERICK",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00108712},,C00108712,"LAST CHANCE FOR AMERICA WITHOUT RESORTING TO CHAOS, THE (PCC TITTL)"
P00000216,1980,"JEFFERS, JOSEPH DR.",INDEPENDENT,,P,0.0,0.0,0.0,{C00099762},,C00099762,DR. JOSEPH JEFFERS FOR PRESIDENT COMMITTEE
P00000232,1980,"CRANE, PHILIP M.",REPUBLICAN PARTY,,P,4670310.00,4657129.00,0.0,{C00100834},1980-12-31 00:00:00,C00100834,CRANE FOR PRESIDENT COMMITTEE
P00000240,1980,"ROBINO, JOSEPH JR.",UNKNOWN,,P,0.0,0.0,0.0,{C00101600},,C00101600,PEACE COMMITTEE (PCC ROBINO)
P00000257,1980,"CARLSON, ERNEST JOEL",REPUBLICAN PARTY,,P,294.00,1125.00,0.0,{C00106872},1980-06-30 00:00:00,C00106872,COMMITTEE TO ELECT CARLSON
P00000265,1980,"TRAPNELL, GARRETT BROCK",UNKNOWN,,P,0.0,0.0,0.0,{C00103382},,C00103382,NATIONALIST CHRISTIAN DEMOCRATIC PARTY (PCC TRAPNELL)
P00000299,1980,"SEAMAN, K. CORE",INDEPENDENT,,P,412.00,736.00,0.0,{C00104737},1979-03-31 00:00:00,C00104737,CAMPAIGN COMMITTEE - K. CORE SEAMAN FOR PRESIDENT
P00000315,1980,"DEFELICE, GERALD THOMAS",REPUBLICAN PARTY,,P,0.0,0.0,0.0,{C00104935},,C00104935,GERALD THOMAS DEFELICE FOR PRESIDENT OF USA
P00000323,1980,"THOMAS, JOHN JOSEPH",INDEPENDENT,,P,0.00,0.00,0.0,{C00105684},1979-01-22 00:00:00,C00105684,THOMAS FOR PRESIDENT
P00000349,1980,"VOIGT, S. G. TRACY",REPUBLICAN PARTY,,P,0.00,605.00,0.0,{C00111260},1980-03-31 00:00:00,C00111260,TRACY VOIGT CAMPAIGN FUND
P00000372,1980,"BENEDICT, LORD R",INDEPENDENT,,P,0.0,0.0,0.0,{C00108159},,C00108159,"FIRST PARTY, THE (PCC-BENEDICT)"
P00000380,1980,"LAMOTTE, JOSEPH",UNKNOWN,,P,0.0,0.0,0.0,{C00107045},,C00107045,LIVING COMMITTEE (PCC LAMOTTE)
P00000398,1980,"PICKETT, C. LEON",INDEPENDENT,,P,0.0,0.0,0.0,{C00108142},,C00108142,YOUR TICKET IS PICKETT FOR PRESIDENT CMTE
P00000406,1980,"FERNANDEZ, BENJAMIN",REPUBLICAN PARTY,,P,235589.00,231774.00,0.0,{C00084152},1980-12-31 00:00:00,C00084152,FERNANDEZ FOR PRESIDENT COMMITTEE (FKA PRESIDENTIAL CANDIDATE COMMITTEE)
P00000414,1980,"CONNALLY, JOHN B.",REPUBLICAN PARTY,,P,14820534.00,14676952.00,0.0,{C00107318},1980-12-31 00:00:00,C00107318,CONNALLY FOR PRESIDENT COMMITTEE
P00000422,1980,"KELSO, JOHN GARFIELD",REPUBLICAN PARTY,,P,5395.00,5136.00,0.0,{C00107375},1979-12-31 00:00:00,C00107375,"WHO ELSE BUT KELS PRESIDENTIAL COMMITTEE, THE"
P00000430,1980,"BAKER, HOWARD H JR SENATOR",REPUBLICAN PARTY,,P,9093766.00,9015183.00,0.0,{C00107466},1980-12-31 00:00:00,C00107466,"BAKER COMMITTEE, THE"
P00000448,1980,"HUNSCHER, WILLIAM H.",LIBERTARIAN PARTY,,P,70046.00,70043.00,0.0,{C00107565},1980-05-05 00:00:00,C00107565,HUNSCHER FOR PRESIDENT COMMITTEE
P00000455,1980,"BUSH, GEORGE",REPUBLICAN PARTY,,P,22207071.00,22206046.00,0.0,{C00106922},1980-12-31 00:00:00,C00106922,GEORGE BUSH FOR PRESIDENT
P00000463,1980,"GOLDBERG, LAWRENCE W.",DEMOCRATIC PARTY,,P,1480.00,1479.00,0.0,{C00107573},1980-11-05 00:00:00,C00107573,FREEDOM OF THE PRESS COMMITTEE (PCC GOLDBERG)
P00000471,1980,"GERMANI, PAUL KING",DEMOCRATIC PARTY,,P,0.00,0.00,0.0,{C00108373},1980-10-10 00:00:00,C00108373,GERMANI FOR PRESIDENT
P00000489,1980,"DOLE, ROBERT J",REPUBLICAN PARTY,,P,1561558.00,1518878.00,0.0,{C00107888},1980-12-31 00:00:00,C00107888,DOLE FOR PRESIDENT COMMITTEE
P00000497,1980,"COX, JAMES W.",INDEPENDENT,,P,45.00,45.00,0.0,{C00108084},1980-12-31 00:00:00,C00108084,INDEPENDENT DEMOCRAT (PCC COX)
P00000505,1980,"FRITZ, JOHN PAUL",INDEPENDENT,,P,0.00,0.00,0.0,{C00106898},1981-01-31 00:00:00,C00106898,COMMITTEE TO ELECT PRESIDENT FRITZ
P00000513,1980,"STOCKTON, DUKE ESTEN",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,{C00108654},,C00108654,HELP ELECT DUKE STOCKTON PRESIDENT
P00000521,1980,"JACOBSON, ALVIN JOSEPH",REPUBLICAN PARTY,,P,101.00,2528.00,0.0,{C00108092},1980-12-31 00:00:00,C00108092,ALVIN JOSEPH JACOBSON FOR PRESIDENT
P00000539,1980,"STASSEN, HAROLD E.",REPUBLICAN PARTY,Challenger,P,107395.00,107393.00,0.0,"{C00108639,C00122929}",1980-09-30 00:00:00,C00108639,"STASSEN PROGRAM, THE"
P00000562,1980,"CLARK, EDWARD E",LIBERTARIAN PARTY,,P,3234139.00,3210758.00,0.0,{C00108258},1980-12-31 00:00:00,C00108258,ED CLARK FOR PRESIDENT COMMITTEE
P00000570,1980,"CHICK, JOHN M",DEMOCRATIC PARTY,,P,0.00,150.00,0.0,{C00108316},1979-03-31 00:00:00,C00108316,COMMITTEE TO ELECT JOHN CHICK PRESIDENT
P00000588,1980,"O'CUMMINGS, GRADY",DEMOCRATIC PARTY,,P,0.0,0.0,0.0,"{C00108464,C00108472,C00108480,C00108498}",,C00108464,NATIONAL COMMITTEE FOR GRADY O'CUMMINGS
P00000604,1980,"WOODS, JAMES MORRIS",UNKNOWN,,P,0.0,0.0,0.0,{C00109728},,C00109728,MORRIS WOODS FOR PRESIDENT 1980
P00000638,1980,"BONGIOVANNI, JOSEPH THOMAS",DEMOCRATIC PARTY,,P,3750.00,3736.00,0.0,{C00108647},1980-03-31 00:00:00,C00108647,BONGIOVANNI FOR PRESIDENT COMMITTEE
