cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00033982,Martha McSally (R),71385147.31,72193637.09,2727159.02,68221120.11,0.0,436868.18,115303.73,41330733.75,26890386.36,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,48.8,L,I,Arizona,"","",2020-08-04 00:00:00 +0000,AZS1,0,1,N
N00044223,Mark Kelly (D),99846963.44999999,98444439.99,837391.0,98233235.44,0.0,776337.01,1402523.46,50902279.8,47330955.64,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,51.2,W,C,Arizona,"","",2020-08-04 00:00:00 +0000,    ,0,2,N
N00047604,Edward Davida (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arizona,"","",2020-08-04 00:00:00 +0000,,0,2,N
N00047090,Alan White (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Arizona,"","",2020-08-04 00:00:00 +0000,,0,2,N
