cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00009975,Lindsey Graham (R),108916223.49000001,96884518.17,2892971.63,105982726.24000001,100.0,40425.62,12487827.75,54431894.3,51550831.94,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,54.44,W,I,South Carolina,"","",2020-06-09 00:00:00 +0000,SCS2,0,1,N
N00044240,Jaime Harrison (D),130542234.41,130206807.74000001,725929.46,131109406.86,0.0,-1293101.91,335426.67,60250924.39,70858482.47,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.17,L,C,South Carolina,"","",2020-06-09 00:00:00 +0000,    ,0,2,N
N00047196,Keenan Wallace Dunham (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,South Carolina,"","",2020-06-09 00:00:00 +0000,,0,2,N
N00047197,David Weikle (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,South Carolina,"","",2020-06-09 00:00:00 +0000,,0,2,N
N00046948,Lloyd Williams (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,South Carolina,"","",2020-06-09 00:00:00 +0000,,0,2,N
