cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030836,Rand Paul (R),11053205.02,11001141.879999999,1097645.0,7714627.77,0.0,2240932.25,228925.0,3362800.91,4351818.86,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,57.3,W,I,Kentucky,"","",2016-05-17 00:00:00 +0000,KYS2,0,1,N
N00039052,Jim Gray (D),6332188.0,6340701.0,134000.0,3424302.0,2800073.0,-26187.0,-8688.0,2646504.0,777796.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,42.7,L,C,Kentucky,"","",2016-05-17 00:00:00 +0000,    ,0,2,N
N00039050,John David Hale (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Kentucky,"","",2016-05-17 00:00:00 +0000,,0,2,N
N00025282,Billy Ray Wilson (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Kentucky,"","",2016-05-17 00:00:00 +0000,,0,2,N
