cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00029303,Jeff Merkley (D),11298422.37,8125260.77,755250.63,10193949.339999998,0.0,349222.4,3805561.17,5003273.49,5190670.85,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,56.95,W,I,Oregon,"","",2020-05-19 00:00:00 +0000,ORS1,0,1,N
N00035512,Jo Rae Perkins (R),139936.41,123138.19,5499.6,109224.92,12358.75,12853.14,16822.45,55149.0,54075.92,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,39.3,L,C,Oregon,"","",2020-05-19 00:00:00 +0000,    ,0,2,N
N00047842,Gary Dye (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Oregon,"","",2020-05-19 00:00:00 +0000,,0,2,N
N00045467,Ibrahim Taher (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Oregon,"","",2020-05-19 00:00:00 +0000,,0,2,N
