cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00042353,Tina Smith (D),16273913.76,15905941.0,2436253.69,13356797.77,5600.0,475262.3,801755.36,8133912.96,5222884.81,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,48.74,W,I,Minnesota,"","",2020-08-11 00:00:00 +0000,MNS1,0,1,N
N00038400,Jason Lewis (R),7083880.62,6723355.6899999995,236924.99,6793047.92,0.0,53907.71,360524.93,3603665.84,3189382.08,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,43.49,L,C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00047521,Kevin O'Connor (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00047520,Oliver Steinberg (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
