cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00026823,John Kennedy (R),22762573.499999996,10016112.04,1567409.33,21183517.41,0.0,11646.759999999997,13966803.12,12704846.219999999,8478671.190000001,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0, ,I,Louisiana,"","",,LAS2,0,1,N
N00047734,Gary Chambers (D),1182708.84,791092.2899999999,0.0,1193141.55,342.28999999999996,-10775.0,469442.23,391023.77,802117.78,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Louisiana,"","",,    ,0,2,N
N00049395,Luke Mixon (D),476810.67,234812.08,5750.0,472140.67,0.0,-1080.0,241998.59,307470.04,164670.63,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Louisiana,"","",,    ,0,2,N
N00050238,Syrita Steib (D),145235.0,22073.559999999998,0.0,95235.0,50000.0,0.0,123161.44,95235.0,0.0,2022-03-31 00:00:00 +0000,2022-05-14 00:00:00 +0000,0.0,"",C,Louisiana,"","",,    ,0,2,N
N00047357,Xan John (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Louisiana,"","",,,0,2,N
N00048105,Nicholas Parham (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0, ,C,Louisiana,"","",,,0,2,N
N00049998,Michael Dukes Victorian (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022-05-14 00:00:00 +0000,0.0,"",C,Louisiana,"","",,,0,2,N
