cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00031782,Tim Scott (R),12794494.0,8969530.0,5460072.0,6905929.8,0.0,428492.2,3879745.0,6498744.0,407182.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,60.5,W,I,South Carolina,"","",2016-06-28 00:00:00 +0000,SCS1,0,1,N
N00039664,Thomas Dixon (D),40236.05,40462.0,3650.0,22918.0,0.0,13668.05,601.0,25728.0,10357.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,37.0,L,C,South Carolina,"","",2016-06-28 00:00:00 +0000,    ,0,2,N
N00039665,Bill Bledsoe (L),1832.0,1757.0,0.0,0.0,1832.0,0.0,0.0,0.0,0.0,2016-11-08 00:00:00 +0000,2017-05-18 00:00:00 +0000,1.8,L,C,South Carolina,"","",2016-06-28 00:00:00 +0000,    ,0,2,N
N00039666,Jim Hinkle (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,South Carolina,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00039667,Rebel Michael Scarborough (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,South Carolina,"","",2016-06-28 00:00:00 +0000,,0,2,N
N00039236,Tom Wells (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,South Carolina,"","",2016-06-28 00:00:00 +0000,,0,2,N
