cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00013873,John Boozman (R),4888821.0,4466196.0,2049060.0,2597230.0,0.0,242531.0,458682.0,2345787.0,251442.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,59.8,W,I,Arkansas,"","",2016-03-22 00:00:00 +0000,ARS2,0,1,N
N00038194,Conner Eldridge (D),2242085.0,2242085.0,142950.0,1545422.0,563972.0,-10259.0,0.0,1352124.0,193296.0,2016-12-19 00:00:00 +0000,2017-05-18 00:00:00 +0000,36.2,L,C,Arkansas,"","",2016-03-22 00:00:00 +0000,    ,0,2,N
N00039035,Frank Gilbert (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Arkansas,"","",2016-03-22 00:00:00 +0000,,0,2,N
N00039036,Jason Tate (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Arkansas,"","",2016-03-22 00:00:00 +0000,,0,2,N
