cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00030980,Kelly Ayotte (R),18427999.65,19621390.020000003,4378191.1,13164136.19,0.0,885672.36,176170.0,11561515.1,1602616.09,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,47.9,L,I,New Hampshire,"","",2016-09-13 00:00:00 +0000,NHS1,0,1,N
N00038397,Maggie Hassan (D),18561299.0,18427848.0,956373.0,16125563.0,0.0,1479363.0,133450.0,10800818.0,5324739.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,48.0,W,C,New Hampshire,"","",2016-09-13 00:00:00 +0000,    ,0,2,N
N00036735,Brian Chabot (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,New Hampshire,"","",2016-09-13 00:00:00 +0000,,0,2,N
N00040495,Aaron Day (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,New Hampshire,"","",2016-09-13 00:00:00 +0000,,0,2,N
