cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00001758,Chuck Grassley (R),9828566.0,10688656.0,3145207.0,5855777.0,0.0,827582.0,1006156.0,4632792.0,1222982.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,60.2,W,I,Iowa,"","",2016-06-07 00:00:00 +0000,IAS1,0,1,N
N00039658,Patty Judge (D),2242555.63,2177556.0,243287.0,1796031.0,1697.0,201540.63,64999.0,1179308.0,616721.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,35.7,L,C,Iowa,"","",2016-06-07 00:00:00 +0000,    ,0,2,N
N00039659,Michael Luick-Thrams (3),3101.0,3100.0,0.0,1696.0,2500.0,-1095.0,0.0,1616.0,80.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.3,L,C,Iowa,"","",2016-06-07 00:00:00 +0000,    ,0,2,N
N00030533,Charles Aldrich (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Iowa,"","",2016-06-07 00:00:00 +0000,,0,2,N
N00040412,Jim Hennager (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Iowa,"","",2016-06-07 00:00:00 +0000,,0,2,N
