cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00033054,Steven Daines (R),32792199.42,33543537.57,3939475.22,27746203.59,0.0,1106520.6099999999,107782.97,15832549.47,11913653.120000001,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,55.01,W,I,Montana,"","",2020-06-02 00:00:00 +0000,MTS2,0,1,N
N00044652,Steve Bullock (D),48737895.84,47788545.7,698748.57,46204911.4,0.0,1834235.87,949350.14,28108241.89,18096669.51,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.99,L,C,Montana,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00046996,Susan Good Giese (L),2447.290000000001,2447.290000000001,0.0,9305.0,2447.29,-9305.0,0.0,8550.0,755.0,2020-06-02 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.0,L,C,Montana,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00046723,Wendie Fredrickson (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Montana,"","",2020-06-02 00:00:00 +0000,,0,2,N
