cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00043298,Cindy Hyde-Smith (R),3374055.48,3259427.03,1165817.8,2157870.19,0.0,50367.49,168542.51,1682622.39,475247.8,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,54.1,W,I,Mississippi,"","",2020-03-10 00:00:00 +0000,MSS1,0,1,N
N00003295,Mike Espy (D),12200588.8,12319166.420000002,322066.66,11801285.58,0.0,77236.56,175593.08,5256650.79,6544634.79,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,44.1,L,C,Mississippi,"","",2020-03-10 00:00:00 +0000,    ,0,2,N
N00046853,Jimmy Edwards (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Mississippi,"","",2020-03-10 00:00:00 +0000,,0,2,N
N00047329,Mary Wright (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,Mississippi,"","",2020-03-10 00:00:00 +0000,,0,2,N
