cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00026050,Lisa Murkowski (R),6058418.0,7055456.57,2696742.0,3155461.0,0.0,206215.0,91119.0,3056356.0,98906.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,44.3,W,I,Alaska,"","",2016-08-16 00:00:00 +0000,AKS2,0,1,N
N00039370,Margaret Stock (I),740769.0,738918.0,4650.0,637204.0,96363.0,2552.0,1850.0,471829.0,165374.0,2016-11-28 00:00:00 +0000,2017-05-18 00:00:00 +0000,13.7,L,C,Alaska,"","",2016-08-16 00:00:00 +0000,    ,0,2,N
N00028529,Ray Metcalfe (D),20865.0,13147.0,150.0,12871.0,4989.0,2855.0,7718.0,8495.0,4376.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,11.1,L,C,Alaska,"","",2016-08-16 00:00:00 +0000,    ,0,2,N
N00040365,Breck Craig (I),17541.0,22031.0,0.0,269.0,17272.0,0.0,0.0,269.0,0.0,2016-11-30 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.8,L,C,Alaska,"","",2016-08-16 00:00:00 +0000,    ,0,2,N
N00039649,Cean Stevens (L),17102.0,16171.0,0.0,7105.0,9990.0,7.0,929.0,4800.0,2305.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,0.0,L,C,Alaska,"","",2016-08-16 00:00:00 +0000,    ,0,2,N
N00026251,Ted Gianoutsos (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Alaska,"","",2016-08-16 00:00:00 +0000,,0,2,N
N00032983,Sid Hill (U),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Alaska,"","",2016-08-16 00:00:00 +0000,,0,2,N
N00040410,Rob Mulford (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Alaska,"","",2016-08-16 00:00:00 +0000,,0,2,N
N00007986,Jed Whittaker (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Alaska,"","",2016-08-16 00:00:00 +0000,,0,2,N
