candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000091,1996,"HILL, RICHARD RHORER",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00213165},,C00213165,HILL '88 COMMITTEE
P00000133,1996,"MCDANIELS, EDISON PENROW SR",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00301168},,C00301168,CRUSADE TO ELECT EDISON P MCDANIELS SR PRESIDENT
P00000331,1996,"STARR, FRANK",UNKNOWN,Challenger,P,3119.00,3119.00,0.00,{C00297259},1996-12-31 00:00:00,C00297259,COMMITTEE TO ELECT FRANK STARR PRESIDENT
P00000489,1996,"DOLE, ROBERT J",REPUBLICAN PARTY,Challenger,P,144270922.54,140638827.15,3673032.00,"{C00213850,C00216838,C00234427,C00300608,C00301077,C00317743}",1996-12-31 00:00:00,C00317743,DOLE/KEMP '96 INC
P00000588,1996,"O'CUMMINGS, GRADY 3RD",DEMOCRATIC PARTY,Challenger,P,0.00,0.00,0.00,"{C00164335,C00304451}",1996-07-20 00:00:00,C00304451,NATIONAL COMMITTEE TO ELECT GRADY O'CUMMINGS 3RD IN 96
P00000729,1996,"MUZYK, GEORGE ALEXANDER",DEMOCRATIC PARTY,Challenger,P,1845.00,2000.00,475.00,"{C00109249,C00283325}",1996-12-31 00:00:00,C00283325,DEMOCRATS FOR AMERICUM
P00000984,1996,"HARRIS, CALVIN DURANT",REPUBLICAN PARTY,Challenger,P,100000.00,50027.00,0.00,{C00283010},1994-03-31 00:00:00,C00283010,CALVIN HARRIS FOR U S PRESIDENT
P00001065,1996,"BRIDGES, JAMES ROBERT",REPUBLICAN PARTY,Challenger,P,8000.00,0.0,0.0,{C00293860},1995-06-30 00:00:00,C00293860,JAMES ROBERT BRIDGES FOR PRESIDENT USA
P00001792,1996,"ENGLERIUS, MAXIMUS T",UNKNOWN,Challenger,P,0.0,0.0,0.0,{C00197384},,C00197384,ENGLERIUS FOR PRESIDENT CAMPAIGN COMMITTEE
P00002592,1996,"BENTLEY, THOMAS ALAN",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00150409},,C00150409,COALITION TO ELECT TOM BENTLEY PRESIDENT
P00002667,1996,"POLAND, HAROLD LAWRENCE",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00314534},,C00314534,POLAND FOR PRESIDENT
P20000089,1996,"FELLURE, LOWELL JACKSON",REPUBLICAN PARTY,Challenger,P,12369.00,12059.00,590.00,"{C00227330,C00278457}",1996-12-31 00:00:00,C00278457,JACK FELLURE CAMPAIGN COMMITTEE
