cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00035267,Cory Booker (D),15366762.350000001,10326635.79,1265745.1,10942671.98,0.0,3158345.2699999996,5887106.29,7005146.93,3937520.05,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,57.2,W,I,New Jersey,"","",2020-06-02 00:00:00 +0000,NJS2,0,1,N
N00045592,Rik Mehta (R),586706.1,586153.09,12000.0,259707.1,315000.0,-1.0,553.01,205757.26,53949.84,2020-12-31 00:00:00 +0000,2021-04-01 00:00:00 +0000,40.9,L,C,New Jersey,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00046866,Veronica Fernandez (I),12632.7,12632.7,0.0,11568.7,1064.0,0.0,0.0,8924.96,2643.74,2020-11-27 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.7,L,C,New Jersey,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00046968,Daniel Burke (I),7220.0,7099.94,270.0,6850.0,100.0,0.0,120.06,4275.0,2575.0,2020-11-23 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.3,L,C,New Jersey,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00043917,Madelyn Hoffman (3),6218.86,5763.36,0.0,5468.86,0.0,750.0,455.5,2043.7,3425.16,2020-11-23 00:00:00 +0000,2021-04-01 00:00:00 +0000,0.9,L,C,New Jersey,"","",2020-06-02 00:00:00 +0000,    ,0,2,N
N00044238,Luis Ed Vergara (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-04-01 00:00:00 +0000,0.0, ,C,New Jersey,"","",2020-06-02 00:00:00 +0000,,0,2,N
