cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00003682,Rob Portman (R),25428561.0,26534605.0,5792205.0,17740854.0,0.0,1895502.0,380564.0,16457766.0,1283080.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,58.3,W,I,Ohio,"","",2016-03-15 00:00:00 +0000,OHS2,0,1,N
N00003730,Ted Strickland (D),10589191.0,10420055.0,904413.0,8885963.0,3150.0,795665.0,169136.0,6119108.0,2766850.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,36.9,L,C,Ohio,"","",2016-03-15 00:00:00 +0000,    ,0,2,N
N00037499,Thomas Connors (I),103058.0,108048.0,0.0,2020.0,101036.0,2.0,696.0,300.0,1720.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,1.7,L,C,Ohio,"","",2016-03-15 00:00:00 +0000,    ,0,2,N
N00034210,Joe Demare (3),10950.0,10948.0,0.0,6166.0,2398.0,2386.0,0.0,1831.0,4335.0,2016-12-12 00:00:00 +0000,2017-05-18 00:00:00 +0000,1.6,L,C,Ohio,"","",2016-03-15 00:00:00 +0000,    ,0,2,N
N00040496,James Stahl (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,Ohio,"","",2016-03-15 00:00:00 +0000,,0,2,N
