cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00031688,John Hoeven (R),3797124.0,2786736.0,1737056.0,1675754.0,100000.0,284314.0,1822584.0,1530236.0,145517.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,78.6,W,I,North Dakota,"","",2016-06-14 00:00:00 +0000,NDS1,0,1,N
N00039938,Eliot Glassheim (D),21714.0,32793.0,5000.0,16714.0,0.0,0.0,-2723.0,10110.0,6604.0,2016-12-31 00:00:00 +0000,2017-05-18 00:00:00 +0000,17.0,L,C,North Dakota,"","",2016-06-14 00:00:00 +0000,    ,0,2,N
N00028857,James Germalic (I),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,North Dakota,"","",2016-06-14 00:00:00 +0000,,0,2,N
N00039939,Robert Marquette (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-05-18 00:00:00 +0000,0.0, ,C,North Dakota,"","",2016-06-14 00:00:00 +0000,,0,2,N
